Starting to listen for messages on topic : mysimbdp. 
Successfullt connected to kafka consumer process!
mysimbdp:0:92: key=None value=b'id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365'
mysimbdp:0:93: key=None value=b'2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36575,4.94142,Private room,59,3,267,2019-08-05,2.12,1,89'
mysimbdp:0:94: key=None value=b'20168,Studio with private bathroom in the centre 1,59484,Alexander,,Centrum-Oost,52.36509,4.89354,Private room,80,1,283,2019-07-26,2.46,2,124'
mysimbdp:0:95: key=None value=b'25428,Lovely apt in City Centre (w.lift) near Jordaan,56142,Joan,,Centrum-West,52.37297,4.88339,Entire home/apt,125,14,3,2019-05-11,0.16,2,75'
mysimbdp:0:96: key=None value=b'27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38673,4.89208,Private room,150,2,195,2019-07-01,2.11,1,66'
mysimbdp:0:97: key=None value=b'28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36719,4.89092,Private room,75,2,283,2019-07-20,2.59,3,138'
mysimbdp:0:98: key=None value=b'29051,Comfortable single room,124245,Edwin,,Centrum-West,52.36773,4.89151,Private room,55,2,435,2019-08-04,4.25,3,173'
mysimbdp:0:99: key=None value=b'31080,2-story apartment + rooftop terrace,133488,Nienke,,Zuid,52.35132,4.84838,Entire home/apt,219,3,32,2017-10-16,0.33,1,0'
mysimbdp:0:100: key=None value=b'38266,Nice and quiet place in the Jordaan,164204,Julian,,Centrum-West,52.37565,4.87969,Entire home/apt,145,3,199,2019-05-19,1.81,1,163'
mysimbdp:0:101: key=None value=b'42970,Comfortable room@PERFECT location + 2 bikes,187580,Micha,,Centrum-West,52.36781,4.89001,Private room,159,3,455,2019-08-05,4.19,2,88'
Starting to listen for messages on topic : mysimbdp. 
Successfullt connected to kafka consumer process!
Starting to listen for messages on topic : mysimbdp. 
Successfullt connected to kafka consumer process!
mysimbdp:0:102: key=None value=b'id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365'
mysimbdp:0:103: key=None value=b'2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36575,4.94142,Private room,59,3,267,2019-08-05,2.12,1,89'
mysimbdp:0:104: key=None value=b'20168,Studio with private bathroom in the centre 1,59484,Alexander,,Centrum-Oost,52.36509,4.89354,Private room,80,1,283,2019-07-26,2.46,2,124'
mysimbdp:0:105: key=None value=b'25428,Lovely apt in City Centre (w.lift) near Jordaan,56142,Joan,,Centrum-West,52.37297,4.88339,Entire home/apt,125,14,3,2019-05-11,0.16,2,75'
mysimbdp:0:106: key=None value=b'27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38673,4.89208,Private room,150,2,195,2019-07-01,2.11,1,66'
mysimbdp:0:107: key=None value=b'28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36719,4.89092,Private room,75,2,283,2019-07-20,2.59,3,138'
mysimbdp:0:108: key=None value=b'29051,Comfortable single room,124245,Edwin,,Centrum-West,52.36773,4.89151,Private room,55,2,435,2019-08-04,4.25,3,173'
mysimbdp:0:109: key=None value=b'31080,2-story apartment + rooftop terrace,133488,Nienke,,Zuid,52.35132,4.84838,Entire home/apt,219,3,32,2017-10-16,0.33,1,0'
mysimbdp:0:110: key=None value=b'38266,Nice and quiet place in the Jordaan,164204,Julian,,Centrum-West,52.37565,4.87969,Entire home/apt,145,3,199,2019-05-19,1.81,1,163'
mysimbdp:0:111: key=None value=b'42970,Comfortable room@PERFECT location + 2 bikes,187580,Micha,,Centrum-West,52.36781,4.89001,Private room,159,3,455,2019-08-05,4.19,2,88'
mysimbdp:0:112: key=None value=b'43109,Oasis in the middle of Amsterdam,188098,Aukje,,Centrum-West,52.37537,4.88932,Entire home/apt,210,13,690,2019-08-03,17.77,1,0'
mysimbdp:0:113: key=None value=b'43980,View into park / museum district (long/short stay),65041,Ym,,Zuid,52.35746,4.86124,Entire home/apt,100,30,61,2018-02-18,0.57,2,213'
mysimbdp:0:114: key=None value=b'44129,Luxury design with canal view,187728,Tanya,,Centrum-West,52.38071,4.8861,Entire home/apt,349,7,177,2019-03-03,1.62,4,40'
mysimbdp:0:115: key=None value=b'44391,"Amsterdam Centre, 3-room Apartment",194779,Jan,,Centrum-Oost,52.37017,4.91438,Entire home/apt,240,2,36,2019-07-20,0.33,1,0'
mysimbdp:0:116: key=None value=b'46386,Cozy loft in central Amsterdam,207342,Joost,,De Pijp - Rivierenbuurt,52.35247,4.90825,Entire home/apt,150,3,3,2018-01-03,0.03,1,0'
mysimbdp:0:117: key=None value=b'47061,Charming apartment in old centre,211696,Ivar,,De Baarsjes - Oud-West,52.36799,4.87447,Entire home/apt,140,2,182,2019-06-19,1.68,1,68'
mysimbdp:0:118: key=None value=b'48076,Amsterdam Central and lot of space,219080,Franklin,,Centrum-West,52.38042,4.89453,Entire home/apt,350,7,188,2019-08-06,1.97,2,187'
mysimbdp:0:119: key=None value=b'49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,,Centrum-West,52.37925,4.89023,Entire home/apt,220,3,335,2019-07-31,3.13,1,253'
mysimbdp:0:120: key=None value=b'50515,"Family Home (No drugs, smoking or parties)",231864,Karin,,Bos en Lommer,52.37727,4.83925,Entire home/apt,120,4,14,2019-07-26,0.22,1,52'
mysimbdp:0:121: key=None value=b'50518,Perfect central Amsterdam apartment,231806,Nikki,,Westerpark,52.38201,4.87865,Entire home/apt,125,1,98,2019-07-19,1.19,1,3'
